setting,encoder,permitted,D,k,seed,target,family,cfg,train_acc,train_bal,test_acc,test_bal,sec
A=age,clip,age,768,2,1,A_kept,tree,"depth=None,it=22",0.8499489622320517,0.8933565553898891,0.7758544163337772,0.7510766212362698,61.311874866485596
A=age,clip,age,768,2,1,A_kept,tree,"depth=6,it=34",0.831461948508563,0.880379503636712,0.775410563692854,0.7727708850280585,61.63518714904785
A=age,clip,age,768,2,1,A_kept,knn,k=15,1.0,1.0,0.8286728806036396,0.7198180690435659,0.8776035308837891
A=age,clip,age,768,2,1,A_kept,knn,k=50,1.0,1.0,0.831779849090102,0.7172137942189606,0.9075989723205566
A=age,clip,age,768,2,1,Aprime_heldout,lr,wd=1e-05,0.7061378112333526,0.7069388413053382,0.7128834355828221,0.7106551840594394,0.4427807331085205
A=age,clip,age,768,2,1,Aprime_heldout,lr,wd=0.001,0.7061378112333526,0.7069388413053382,0.7128834355828221,0.7106551840594394,0.18900012969970703
A=age,clip,age,768,2,1,Aprime_heldout,lr,wd=0.1,0.7055587724377533,0.7064782240782539,0.7128834355828221,0.7106551840594394,0.20599889755249023
A=age,clip,age,768,2,1,Aprime_heldout,mlp,"h=256,seed=0",0.7127967573827446,0.7061786254219782,0.7104294478527607,0.7036880683452787,0.5496227741241455
A=age,clip,age,768,2,1,Aprime_heldout,mlp,"h=256,seed=1",0.7122177185871453,0.7085872621924447,0.7116564417177914,0.7071716262023591,0.5529980659484863
A=age,clip,age,768,2,1,Aprime_heldout,mlp,"h=1024,seed=0",0.7122177185871453,0.7061962171944857,0.7067484662576687,0.7006016485921923,0.8446838855743408
A=age,clip,age,768,2,1,Aprime_heldout,mlp,"h=1024,seed=1",0.7104806022003475,0.7081618285103753,0.7104294478527607,0.7061428196179969,0.8458395004272461
A=age,clip,age,768,2,1,Aprime_heldout,rff,gamma x0.5,0.7084539664157499,0.7092595192132671,0.6969325153374233,0.6938440466809261,0.409970760345459
A=age,clip,age,768,2,1,Aprime_heldout,rff,gamma x2.0,0.7171395483497395,0.7112272846237497,0.7104294478527607,0.7036880683452787,0.24341988563537598
A=age,clip,age,768,2,1,Aprime_heldout,tree,"depth=None,it=30",0.8094962362478286,0.8116348393206991,0.6883435582822086,0.6812419477904111,53.68480038642883
A=age,clip,age,768,2,1,Aprime_heldout,tree,"depth=6,it=36",0.7843080486392588,0.7810773919515128,0.6920245398773006,0.6843283675434976,53.75014400482178
A=age,clip,age,768,2,1,Aprime_heldout,knn,k=15,1.0,1.0,0.6748466257668712,0.6448866123807022,0.17800045013427734
A=age,clip,age,768,2,1,Aprime_heldout,knn,k=50,1.0,1.0,0.6969325153374233,0.6673327329355698,0.21499967575073242
A=age,clip,age,768,2,1,B_emotion,lr,wd=1e-05,0.1867003504196887,0.18358079394142443,0.18089960886571055,0.17627148466987272,0.35492730140686035
A=age,clip,age,768,2,1,B_emotion,lr,wd=0.001,0.16453426778583652,0.174105898142446,0.16460234680573663,0.17394590444074204,0.23568964004516602
A=age,clip,age,768,2,1,B_emotion,lr,wd=0.1,0.22858772716160053,0.1875802432296689,0.22359843546284225,0.16969003667551474,0.23196172714233398
A=age,clip,age,768,2,1,B_emotion,mlp,"h=256,seed=0",0.2319289381468503,0.21857942566432714,0.22294654498044328,0.20288779509432983,1.551948070526123
A=age,clip,age,768,2,1,B_emotion,mlp,"h=256,seed=1",0.2557248797978975,0.21374249761626202,0.24837027379400262,0.2025939771483159,1.5114045143127441
A=age,clip,age,768,2,1,B_emotion,mlp,"h=1024,seed=0",0.226468910439247,0.21301793088033913,0.21349413298565842,0.19669635746394093,2.8412835597991943
A=age,clip,age,768,2,1,B_emotion,mlp,"h=1024,seed=1",0.2373889658544536,0.20996683600791738,0.2317470664928292,0.20104698850977737,2.854189157485962
A=age,clip,age,768,2,1,B_emotion,rff,gamma x0.5,0.24293048651291663,0.21907099163483176,0.22718383311603652,0.19744553950791494,0.6720089912414551
A=age,clip,age,768,2,1,B_emotion,rff,gamma x2.0,0.23510716323038058,0.22982077326497624,0.20795306388526727,0.18703475204281034,0.4284172058105469
A=age,clip,age,768,2,1,B_emotion,tree,"depth=None,it=13",0.4139841903675332,0.49556226535578923,0.22913950456323337,0.1813554867507294,65.37586236000061
A=age,clip,age,768,2,1,B_emotion,tree,"depth=6,it=13",0.3676147013283351,0.4278789756428674,0.22294654498044328,0.1733226653365463,64.84042119979858
A=age,clip,age,768,2,1,B_emotion,knn,k=15,1.0,1.0,0.3624511082138201,0.17565684683274083,1.5946509838104248
A=age,clip,age,768,2,1,B_emotion,knn,k=50,1.0,1.0,0.39308996088657105,0.17703432207904415,1.5894126892089844
A=age,clip,age,768,2,1,B_gender,lr,wd=1e-05,0.5203576699366265,0.5063342520747001,0.5200418264203556,0.5060579327659658,0.33196091651916504
A=age,clip,age,768,2,1,B_gender,lr,wd=0.001,0.5783488150013022,0.5578994900183024,0.5761589403973509,0.5567577518805168,0.22500181198120117
A=age,clip,age,768,2,1,B_gender,lr,wd=0.1,0.6018751627745464,0.5911063122124885,0.597420704078076,0.58814483685714,0.23599839210510254
A=age,clip,age,768,2,1,B_gender,mlp,"h=256,seed=0",0.6136817432068756,0.5991499157306324,0.6047403276402927,0.5928844310015914,1.5657198429107666
A=age,clip,age,768,2,1,B_gender,mlp,"h=256,seed=1",0.6191509679659692,0.6012857941909073,0.6050888811432555,0.5902593679882178,1.5590479373931885
A=age,clip,age,768,2,1,B_gender,mlp,"h=1024,seed=0",0.6188037156003126,0.6023625950624318,0.6061345416521436,0.5926521464084848,2.694807529449463
A=age,clip,age,768,2,1,B_gender,mlp,"h=1024,seed=1",0.6175015192290998,0.6000354342683869,0.60439177413733,0.5892753709140152,2.7009758949279785
A=age,clip,age,768,2,1,B_gender,rff,gamma x0.5,0.6076048268078826,0.6001319977223198,0.600906239107703,0.5946233530033904,0.6506297588348389
A=age,clip,age,768,2,1,B_gender,rff,gamma x2.0,0.6128136122927338,0.6041856798703535,0.5939351690484489,0.5868003044410837,0.41100025177001953
A=age,clip,age,768,2,1,B_gender,tree,"depth=None,it=24",0.678531122493272,0.6715620382224037,0.5862669919832695,0.5778099022427818,61.552133560180664
A=age,clip,age,768,2,1,B_gender,tree,"depth=6,it=26",0.6662904766038719,0.6583265734816527,0.5859184384803068,0.5780513299528511,61.13006234169006
A=age,clip,age,768,2,1,B_gender,knn,k=15,1.0,1.0,0.5695364238410596,0.5531855113720606,1.4348094463348389
A=age,clip,age,768,2,1,B_gender,knn,k=50,1.0,1.0,0.6029975601254792,0.5809815753837638,1.4449207782745361
A=age,clip,age,768,2,1,B_race,lr,wd=1e-05,0.21620079863091843,0.39683531535880884,0.211864406779661,0.40164960449575693,0.4368565082550049
A=age,clip,age,768,2,1,B_race,lr,wd=0.001,0.21717871404123543,0.39681355490874487,0.21251629726205998,0.40193317177209326,0.2090003490447998
A=age,clip,age,768,2,1,B_race,lr,wd=0.1,0.20902941895526037,0.3967238363178332,0.2046936114732725,0.3999991050552329,0.21000003814697266
A=age,clip,age,768,2,1,B_race,mlp,"h=256,seed=0",0.2910113275201695,0.4168504340909076,0.2848761408083442,0.41956303422284597,1.5072431564331055
A=age,clip,age,768,2,1,B_race,mlp,"h=256,seed=1",0.28514383505826746,0.41546214523864555,0.2832464146023468,0.41956904442803133,1.491792917251587
A=age,clip,age,768,2,1,B_race,mlp,"h=1024,seed=0",0.26884524488631734,0.4164445091517838,0.2627118644067797,0.42347357403855107,2.8355469703674316
A=age,clip,age,768,2,1,B_race,mlp,"h=1024,seed=1",0.27487572324993886,0.4191447669473902,0.2682529335071708,0.4198326316296468,2.8358051776885986
A=age,clip,age,768,2,1,B_race,rff,gamma x0.5,0.27756499062831064,0.4275133445938539,0.2633637548891786,0.4133288181149406,0.7021090984344482
A=age,clip,age,768,2,1,B_race,rff,gamma x2.0,0.2705565968543721,0.4343583733013297,0.25684485006518903,0.4125005124857177,0.4285924434661865
A=age,clip,age,768,2,1,B_race,tree,"depth=None,it=13",0.4412843289055497,0.5983934936256764,0.34876140808344197,0.39183343781757035,64.69139218330383
A=age,clip,age,768,2,1,B_race,tree,"depth=6,it=12",0.38057208051503544,0.5513300905107688,0.31681877444589307,0.40359299700375656,62.64565396308899
A=age,clip,age,768,2,1,B_race,knn,k=15,1.0,1.0,0.749348109517601,0.33382347177586946,1.5718023777008057
A=age,clip,age,768,2,1,B_race,knn,k=50,1.0,1.0,0.7610821382007823,0.33161314260938846,1.582702875137329
A=age,clip,age,768,2,2,A_kept,lr,wd=1e-05,0.8238629919473744,0.8224901123101006,0.7993786063027075,0.7848036636069512,0.48046016693115234
A=age,clip,age,768,2,2,A_kept,lr,wd=0.001,0.8238629919473744,0.8224901123101006,0.7993786063027075,0.7848036636069512,0.21899795532226562
A=age,clip,age,768,2,2,A_kept,lr,wd=0.1,0.7951684246342293,0.8120491970618481,0.7696404793608522,0.779520227701623,0.2290024757385254
A=age,clip,age,768,2,2,A_kept,mlp,"h=256,seed=0",0.808211409776568,0.8256305010341599,0.7794052374611629,0.7790225362111993,1.3005821704864502
A=age,clip,age,768,2,2,A_kept,mlp,"h=256,seed=1",0.800839287739594,0.8237855602285191,0.7687527740790058,0.777916650887672,1.3076016902923584
A=age,clip,age,768,2,2,A_kept,mlp,"h=1024,seed=0",0.8145627764545764,0.8224571006143043,0.7842876165113183,0.7769198942589185,2.1132819652557373
A=age,clip,age,768,2,2,A_kept,mlp,"h=1024,seed=1",0.8085516615628898,0.822346485090443,0.783843763870395,0.7819550500387612,2.1141064167022705
A=age,clip,age,768,2,2,A_kept,rff,gamma x0.5,0.8036747192922763,0.8266617717163122,0.7749667110519307,0.7779438185907065,0.5860118865966797
A=age,clip,age,768,2,2,A_kept,rff,gamma x2.0,0.8011795395259158,0.8245549402157679,0.7776298268974701,0.7805375351804248,0.33203625679016113
A=age,clip,age,768,2,2,A_kept,tree,"depth=None,it=23",0.8470001134172621,0.8903118353472678,0.7740790057700844,0.7519653355192472,60.512656688690186
A=age,clip,age,768,2,2,A_kept,tree,"depth=6,it=32",0.8328229556538506,0.8802582332745971,0.7718597425654683,0.7594423883718496,60.8979275226593
A=age,clip,age,768,2,2,A_kept,knn,k=15,1.0,1.0,0.8286728806036396,0.7198180690435659,0.8360750675201416
A=age,clip,age,768,2,2,A_kept,knn,k=50,1.0,1.0,0.831779849090102,0.7172137942189606,0.9330027103424072
A=age,clip,age,768,2,2,Aprime_heldout,lr,wd=1e-05,0.7061378112333526,0.7069388413053382,0.7128834355828221,0.7106551840594394,0.4380381107330322
A=age,clip,age,768,2,2,Aprime_heldout,lr,wd=0.001,0.7061378112333526,0.7069388413053382,0.7128834355828221,0.7106551840594394,0.18756628036499023
A=age,clip,age,768,2,2,Aprime_heldout,lr,wd=0.1,0.7055587724377533,0.7064782240782539,0.7128834355828221,0.7106551840594394,0.20960092544555664
A=age,clip,age,768,2,2,Aprime_heldout,mlp,"h=256,seed=0",0.7122177185871453,0.7085872621924447,0.7116564417177914,0.7071716262023591,0.5619988441467285
