dataset,target,target_type,family,cfg,seed,note,method,k,compat_on_U,compat_on_Uhat,test_bal
rafdb,compat_A,compat,mlp,"h=1024,seed=1",1,compat_5fam,leace2attr,768,0.8637299679870297,0.853910239949857,0.853910239949857
rafdb,compat_A,compat,rff,gamma x0.5,1,compat_5fam,lda_shrink,4,0.8658208849908918,0.8779710356636155,0.8779710356636155
rafdb,compat_A,compat,rff,gamma x0.5,1,compat_5fam,vib_b1,4,0.8658208849908918,0.8551321774329173,0.8551321774329173
rafdb,compat_A,compat,rff,gamma x0.5,1,compat_5fam,adv2attr_lam03,4,0.8658208849908918,0.8358384123349824,0.8358384123349824
rafdb,compat_A,compat,rff,gamma x0.5,1,compat_5fam,leace2attr,768,0.8658208849908918,0.8622071723639347,0.8622071723639347
rafdb,compat_A,compat,rff,gamma x2.0,1,compat_5fam,lda_shrink,4,0.8178516009040188,0.868848736835355,0.868848736835355
rafdb,compat_A,compat,rff,gamma x2.0,1,compat_5fam,vib_b1,4,0.8178516009040188,0.841634467465464,0.841634467465464
rafdb,compat_A,compat,rff,gamma x2.0,1,compat_5fam,adv2attr_lam03,4,0.8178516009040188,0.8227299318441201,0.8227299318441201
rafdb,compat_A,compat,rff,gamma x2.0,1,compat_5fam,leace2attr,768,0.8178516009040188,0.804379143734192,0.804379143734192
rafdb,compat_A,compat,tree,depth=None,1,compat_5fam,lda_shrink,4,0.7793010597227894,0.8569207144673576,0.8569207144673576
rafdb,compat_A,compat,tree,depth=None,1,compat_5fam,vib_b1,4,0.7793010597227894,0.8289061962914299,0.8289061962914299
rafdb,compat_A,compat,tree,depth=None,1,compat_5fam,adv2attr_lam03,4,0.7793010597227894,0.8133569121020207,0.8133569121020207
rafdb,compat_A,compat,tree,depth=None,1,compat_5fam,leace2attr,768,0.7793010597227894,0.7535650784643196,0.7535650784643196
rafdb,compat_A,compat,tree,depth=6,1,compat_5fam,lda_shrink,4,0.7971115998842905,0.850575502218933,0.850575502218933
rafdb,compat_A,compat,tree,depth=6,1,compat_5fam,vib_b1,4,0.7971115998842905,0.8253793298149376,0.8253793298149376
rafdb,compat_A,compat,tree,depth=6,1,compat_5fam,adv2attr_lam03,4,0.7971115998842905,0.812265584108394,0.812265584108394
rafdb,compat_A,compat,tree,depth=6,1,compat_5fam,leace2attr,768,0.7971115998842905,0.7643449180614044,0.7643449180614044
rafdb,compat_A,compat,knn,k=15,1,compat_5fam,lda_shrink,4,0.6683565184802756,0.7340507358176069,0.7340507358176069
rafdb,compat_A,compat,knn,k=15,1,compat_5fam,vib_b1,4,0.6683565184802756,0.6718808186863192,0.6718808186863192
rafdb,compat_A,compat,knn,k=15,1,compat_5fam,adv2attr_lam03,4,0.6683565184802756,0.6455922410470818,0.6455922410470818
rafdb,compat_A,compat,knn,k=15,1,compat_5fam,leace2attr,768,0.6683565184802756,0.668158845591607,0.668158845591607
rafdb,compat_A,compat,knn,k=50,1,compat_5fam,lda_shrink,4,0.60532359754758,0.7187226717838822,0.7187226717838822
rafdb,compat_A,compat,knn,k=50,1,compat_5fam,vib_b1,4,0.60532359754758,0.6618309977228563,0.6618309977228563
rafdb,compat_A,compat,knn,k=50,1,compat_5fam,adv2attr_lam03,4,0.60532359754758,0.6297846364743277,0.6297846364743277
rafdb,compat_A,compat,knn,k=50,1,compat_5fam,leace2attr,768,0.60532359754758,0.6174879271327098,0.6174879271327098
rafdb,compat_A,compat,lr,wd=1e-05,2,compat_5fam,lda_shrink,4,0.8497703070879192,0.8715353143222897,0.8715353143222897
rafdb,compat_A,compat,lr,wd=1e-05,2,compat_5fam,vib_b1,4,0.8497703070879192,0.8572149588989205,0.8572149588989205
rafdb,compat_A,compat,lr,wd=1e-05,2,compat_5fam,adv2attr_lam03,4,0.8497703070879192,0.8419418777945259,0.8419418777945259
rafdb,compat_A,compat,lr,wd=1e-05,2,compat_5fam,leace2attr,768,0.8497703070879192,0.8282112145278921,0.8282112145278921
rafdb,compat_A,compat,lr,wd=0.001,2,compat_5fam,lda_shrink,4,0.8497703070879192,0.8715353143222897,0.8715353143222897
rafdb,compat_A,compat,lr,wd=0.001,2,compat_5fam,vib_b1,4,0.8497703070879192,0.8572149588989205,0.8572149588989205
rafdb,compat_A,compat,lr,wd=0.001,2,compat_5fam,adv2attr_lam03,4,0.8497703070879192,0.8419418777945259,0.8419418777945259
rafdb,compat_A,compat,lr,wd=0.001,2,compat_5fam,leace2attr,768,0.8497703070879192,0.8282112145278921,0.8282112145278921
rafdb,compat_A,compat,lr,wd=0.1,2,compat_5fam,lda_shrink,4,0.8513662365989643,0.8724373347049108,0.8724373347049108
rafdb,compat_A,compat,lr,wd=0.1,2,compat_5fam,vib_b1,4,0.8513662365989643,0.8585093121050781,0.8585093121050781
rafdb,compat_A,compat,lr,wd=0.1,2,compat_5fam,adv2attr_lam03,4,0.8513662365989643,0.8441382513833044,0.8441382513833044
rafdb,compat_A,compat,lr,wd=0.1,2,compat_5fam,leace2attr,768,0.8513662365989643,0.8317478298522115,0.8317478298522115
rafdb,compat_A,compat,mlp,"h=256,seed=0",2,compat_5fam,lda_shrink,4,0.86632868484735,0.8827498282248947,0.8827498282248947
rafdb,compat_A,compat,mlp,"h=256,seed=0",2,compat_5fam,vib_b1,4,0.86632868484735,0.8525128249125811,0.8525128249125811
rafdb,compat_A,compat,mlp,"h=256,seed=0",2,compat_5fam,adv2attr_lam03,4,0.86632868484735,0.8358464275223356,0.8358464275223356
rafdb,compat_A,compat,mlp,"h=256,seed=0",2,compat_5fam,leace2attr,768,0.86632868484735,0.8527321225827798,0.8527321225827798
rafdb,compat_A,compat,mlp,"h=256,seed=1",2,compat_5fam,lda_shrink,4,0.8682324892115612,0.87866590212492,0.87866590212492
rafdb,compat_A,compat,mlp,"h=256,seed=1",2,compat_5fam,vib_b1,4,0.8682324892115612,0.8524129629572614,0.8524129629572614
rafdb,compat_A,compat,mlp,"h=256,seed=1",2,compat_5fam,adv2attr_lam03,4,0.8682324892115612,0.8436939075184139,0.8436939075184139
rafdb,compat_A,compat,mlp,"h=256,seed=1",2,compat_5fam,leace2attr,768,0.8682324892115612,0.8437253288628161,0.8437253288628161
rafdb,compat_A,compat,mlp,"h=1024,seed=0",2,compat_5fam,lda_shrink,4,0.8637299679870297,0.8820550552982178,0.8820550552982178
rafdb,compat_A,compat,mlp,"h=1024,seed=0",2,compat_5fam,vib_b1,4,0.8637299679870297,0.8560978805564602,0.8560978805564602
rafdb,compat_A,compat,mlp,"h=1024,seed=0",2,compat_5fam,adv2attr_lam03,4,0.8637299679870297,0.8353154257429644,0.8353154257429644
rafdb,compat_A,compat,mlp,"h=1024,seed=0",2,compat_5fam,leace2attr,768,0.8637299679870297,0.853910239949857,0.853910239949857
rafdb,compat_A,compat,mlp,"h=1024,seed=1",2,compat_5fam,lda_shrink,4,0.8652603003141651,0.8839894013501318,0.8839894013501318
rafdb,compat_A,compat,mlp,"h=1024,seed=1",2,compat_5fam,vib_b1,4,0.8652603003141651,0.8541865191780698,0.8541865191780698
rafdb,compat_A,compat,mlp,"h=1024,seed=1",2,compat_5fam,adv2attr_lam03,4,0.8652603003141651,0.8343666354940205,0.8343666354940205
rafdb,compat_A,compat,mlp,"h=1024,seed=1",2,compat_5fam,leace2attr,768,0.8652603003141651,0.849682951911529,0.849682951911529
rafdb,compat_A,compat,rff,gamma x0.5,2,compat_5fam,lda_shrink,4,0.8776198621466176,0.8755853132507495,0.8755853132507495
rafdb,compat_A,compat,rff,gamma x0.5,2,compat_5fam,vib_b1,4,0.8776198621466176,0.8593880751055332,0.8593880751055332
rafdb,compat_A,compat,rff,gamma x0.5,2,compat_5fam,adv2attr_lam03,4,0.8776198621466176,0.8404498597384219,0.8404498597384219
rafdb,compat_A,compat,rff,gamma x0.5,2,compat_5fam,leace2attr,768,0.8776198621466176,0.8618858065868569,0.8618858065868569
rafdb,compat_A,compat,rff,gamma x2.0,2,compat_5fam,lda_shrink,4,0.8266143134340194,0.8626760873209228,0.8626760873209228
rafdb,compat_A,compat,rff,gamma x2.0,2,compat_5fam,vib_b1,4,0.8266143134340194,0.8269104595916064,0.8269104595916064
rafdb,compat_A,compat,rff,gamma x2.0,2,compat_5fam,adv2attr_lam03,4,0.8266143134340194,0.8250945063540449,0.8250945063540449
rafdb,compat_A,compat,rff,gamma x2.0,2,compat_5fam,leace2attr,768,0.8266143134340194,0.8020735476552083,0.8020735476552083
rafdb,compat_A,compat,tree,depth=None,2,compat_5fam,lda_shrink,4,0.7706186543091852,0.8381332358090224,0.8381332358090224
rafdb,compat_A,compat,tree,depth=None,2,compat_5fam,vib_b1,4,0.7706186543091852,0.8149408280809082,0.8149408280809082
rafdb,compat_A,compat,tree,depth=None,2,compat_5fam,adv2attr_lam03,4,0.7706186543091852,0.8028454129117669,0.8028454129117669
rafdb,compat_A,compat,tree,depth=None,2,compat_5fam,leace2attr,768,0.7706186543091852,0.7537315075023603,0.7537315075023603
rafdb,compat_A,compat,tree,depth=6,2,compat_5fam,lda_shrink,4,0.7743830483291466,0.8440444852675595,0.8440444852675595
rafdb,compat_A,compat,tree,depth=6,2,compat_5fam,vib_b1,4,0.7743830483291466,0.8342506722125496,0.8342506722125496
