setting,encoder,permitted,D,k,seed,target,family,cfg,train_acc,train_bal,test_acc,test_bal,sec
DINOv2-L,dinol,emotion,1024,4,1,B_gender,mlp,"h=1024,seed=1",0.5819081517492838,0.5794529079310968,0.5695364238410596,0.5706960630232581,3.1866343021392822
DINOv2-L,dinol,emotion,1024,4,1,B_gender,rff,gamma x0.5,0.5820817779321121,0.5685032701531864,0.5866155454862322,0.5757349089147862,1.8520522117614746
DINOv2-L,dinol,emotion,1024,4,1,B_gender,rff,gamma x2.0,0.5975345082038371,0.5861369527402286,0.5779017079121646,0.5695773903073076,0.43004870414733887
DINOv2-L,dinol,emotion,1024,4,1,B_gender,tree,"depth=None,it=22",0.6948519836791388,0.6915366390519577,0.5716277448588358,0.5677806442685012,78.73240351676941
DINOv2-L,dinol,emotion,1024,4,1,B_gender,tree,"depth=6,it=21",0.6564805972740689,0.650678569621328,0.5772046009062392,0.5730856289970248,79.28517174720764
DINOv2-L,dinol,emotion,1024,4,1,B_gender,knn,k=15,1.0,1.0,0.5597769257581039,0.5362008125018534,1.7830183506011963
DINOv2-L,dinol,emotion,1024,4,1,B_gender,knn,k=50,1.0,1.0,0.5866155454862322,0.5514401644772609,1.7981343269348145
DINOv2-L,dinol,emotion,1024,4,1,B_race,lr,wd=1e-05,0.3786977426452612,0.3822266313205474,0.36310299869621904,0.34441295653915627,0.4092690944671631
DINOv2-L,dinol,emotion,1024,4,1,B_race,lr,wd=0.001,0.3786977426452612,0.3822266313205474,0.36310299869621904,0.34441295653915627,0.21899056434631348
DINOv2-L,dinol,emotion,1024,4,1,B_race,lr,wd=0.1,0.37861624969440144,0.38219113634308677,0.36310299869621904,0.34441295653915627,0.22760653495788574
DINOv2-L,dinol,emotion,1024,4,1,B_race,mlp,"h=256,seed=0",0.4222964713552278,0.43675764150656265,0.40091264667535853,0.39037208860410827,1.477062463760376
DINOv2-L,dinol,emotion,1024,4,1,B_race,mlp,"h=256,seed=1",0.31782250835302744,0.4131022324686297,0.3116036505867014,0.3776385863934178,1.46748948097229
DINOv2-L,dinol,emotion,1024,4,1,B_race,mlp,"h=1024,seed=0",0.4935213104066498,0.41596081183757977,0.47555410691003913,0.37440966104994367,3.3501193523406982
DINOv2-L,dinol,emotion,1024,4,1,B_race,mlp,"h=1024,seed=1",0.3117920299894059,0.4128812521770346,0.30671447196870927,0.38063298201444784,3.369452714920044
DINOv2-L,dinol,emotion,1024,4,1,B_race,rff,gamma x0.5,0.40037486757395485,0.4028013226526628,0.38885267275097785,0.3911676372978687,1.4664256572723389
DINOv2-L,dinol,emotion,1024,4,1,B_race,rff,gamma x2.0,0.420911091190612,0.45146687020205256,0.394393741851369,0.39013101426875396,0.45599937438964844
DINOv2-L,dinol,emotion,1024,4,1,B_race,tree,"depth=None,it=14",0.5971803439002527,0.6942283601722875,0.4455671447196871,0.3610823340078236,82.4589684009552
DINOv2-L,dinol,emotion,1024,4,1,B_race,tree,"depth=6,it=13",0.5561893896177981,0.6548480568995131,0.42633637548891784,0.35730934396627073,82.34065985679626
DINOv2-L,dinol,emotion,1024,4,1,B_race,knn,k=15,1.0,1.0,0.7601043024771839,0.3328328341551207,1.9487035274505615
DINOv2-L,dinol,emotion,1024,4,1,B_race,knn,k=50,1.0,1.0,0.766297262059974,0.3333333333333333,2.0720057487487793
DINOv2-L,dinol,emotion,1024,4,1,B_age,lr,wd=1e-05,0.292804172439084,0.3037841875452057,0.29758800521512385,0.32735820007476846,0.5197539329528809
DINOv2-L,dinol,emotion,1024,4,1,B_age,lr,wd=0.001,0.2930486512916633,0.3045555340597751,0.2969361147327249,0.32653515480727874,0.22699809074401855
DINOv2-L,dinol,emotion,1024,4,1,B_age,lr,wd=0.1,0.290522369815011,0.300448765543103,0.2943285528031291,0.32481978651060106,0.21506810188293457
DINOv2-L,dinol,emotion,1024,4,1,B_age,mlp,"h=256,seed=0",0.32564583163556354,0.3768448544468301,0.3155149934810952,0.35709129461839073,1.5510802268981934
DINOv2-L,dinol,emotion,1024,4,1,B_age,mlp,"h=256,seed=1",0.3623176595224513,0.3810594213517102,0.3543024771838331,0.3525263338598313,1.5071754455566406
DINOv2-L,dinol,emotion,1024,4,1,B_age,mlp,"h=1024,seed=0",0.32263059245375275,0.37648869694495646,0.3155149934810952,0.3600873150524196,3.358163595199585
DINOv2-L,dinol,emotion,1024,4,1,B_age,mlp,"h=1024,seed=1",0.324178958520088,0.3751335416659369,0.3138852672750978,0.3473066637713809,3.3702526092529297
DINOv2-L,dinol,emotion,1024,4,1,B_age,rff,gamma x0.5,0.3379512672153859,0.3680260562250237,0.32953063885267275,0.3500554658257388,1.7430775165557861
DINOv2-L,dinol,emotion,1024,4,1,B_age,rff,gamma x2.0,0.35033819574606795,0.3906971701890423,0.325619295958279,0.3502303080239921,0.44154906272888184
DINOv2-L,dinol,emotion,1024,4,1,B_age,tree,"depth=None,it=17",0.5399722923967076,0.6427896839276446,0.36766623207301175,0.34149663522125245,85.1779773235321
DINOv2-L,dinol,emotion,1024,4,1,B_age,tree,"depth=6,it=16",0.49409176106266806,0.601289227201414,0.36114732724902215,0.3497598719637598,82.72175717353821
DINOv2-L,dinol,emotion,1024,4,1,B_age,knn,k=15,1.0,1.0,0.5149934810951761,0.24411098492956107,2.3348662853240967
DINOv2-L,dinol,emotion,1024,4,1,B_age,knn,k=50,1.0,1.0,0.5420469361147328,0.24471022967900263,2.4499998092651367
DINOv2-L,dinol,emotion,1024,4,2,A_kept,lr,wd=1e-05,0.900856665273715,0.8765217167954736,0.8415637860082305,0.7772609246740413,0.4974701404571533
DINOv2-L,dinol,emotion,1024,4,2,A_kept,lr,wd=0.001,0.9009611366485583,0.876006922931287,0.842798353909465,0.7803379632120728,0.2239987850189209
