dataset,target,family,cfg,seed,f,method,note,on_U,on_Uhat_real,on_Uhat_f,rel_err,delta
rafdb,compat_B_age,mlp,"h=256,seed=0",0,16,lda_shrink,compat_quant,0.7536254586768754,0.23703207700759413,0.23663367063309212,3.198943260514137e-05,-0.0003984063745020028
rafdb,compat_B_age,mlp,"h=256,seed=1",0,16,lda_shrink,compat_quant,0.7471938213701159,0.23988370329056524,0.23988370329056524,3.198943260514137e-05,0.0
rafdb,compat_B_age,mlp,"h=1024,seed=0",0,16,lda_shrink,compat_quant,0.7499967044941551,0.23639299674620884,0.23639299674620884,3.198943260514137e-05,0.0
rafdb,compat_B_age,mlp,"h=1024,seed=1",0,16,lda_shrink,compat_quant,0.7475533338917982,0.23473574318553808,0.23473574318553808,3.198943260514137e-05,0.0
rafdb,compat_B_age,rff,gamma x0.5,0,16,lda_shrink,compat_quant,0.7918802292439528,0.21912871459889965,0.21912871459889965,3.198943260514137e-05,0.0
rafdb,compat_B_age,rff,gamma x2.0,0,16,lda_shrink,compat_quant,0.7630221459110718,0.2214490317614124,0.2214490317614124,3.198943260514137e-05,0.0
rafdb,compat_B_age,tree,depth=None,0,16,lda_shrink,compat_quant,0.7468129936556974,0.21225656421128045,0.21225656421128045,3.198943260514137e-05,0.0
rafdb,compat_B_age,tree,depth=6,0,16,lda_shrink,compat_quant,0.743679947400417,0.21491671441730809,0.21491671441730809,3.198943260514137e-05,0.0
rafdb,compat_B_age,knn,k=15,0,16,lda_shrink,compat_quant,0.6924107886999872,0.2057428885987147,0.2057428885987147,3.198943260514137e-05,0.0
rafdb,compat_B_age,knn,k=50,0,16,lda_shrink,compat_quant,0.6553246814197251,0.20610389942903962,0.20610389942903962,3.198943260514137e-05,0.0
rafdb,compat_B_age,lr,wd=1e-05,1,16,lda_shrink,compat_quant,0.7573352511888121,0.22465271359481923,0.22465271359481923,3.198943260514137e-05,0.0
rafdb,compat_B_age,lr,wd=0.001,1,16,lda_shrink,compat_quant,0.7573352511888121,0.2245323766513776,0.2245323766513776,3.198943260514137e-05,0.0
rafdb,compat_B_age,lr,wd=0.1,1,16,lda_shrink,compat_quant,0.7595511477516469,0.22519874891247804,0.22519874891247804,3.198943260514137e-05,0.0
rafdb,compat_B_age,mlp,"h=256,seed=0",1,16,lda_shrink,compat_quant,0.7471938213701159,0.23988370329056524,0.23988370329056524,3.198943260514137e-05,0.0
rafdb,compat_B_age,mlp,"h=256,seed=1",1,16,lda_shrink,compat_quant,0.7460216418549872,0.235748228431966,0.235748228431966,3.198943260514137e-05,0.0
rafdb,compat_B_age,mlp,"h=1024,seed=0",1,16,lda_shrink,compat_quant,0.7475533338917982,0.23473574318553808,0.23473574318553808,3.198943260514137e-05,0.0
rafdb,compat_B_age,mlp,"h=1024,seed=1",1,16,lda_shrink,compat_quant,0.7582059199115622,0.23537978939525578,0.23537978939525578,3.198943260514137e-05,0.0
rafdb,compat_B_age,rff,gamma x0.5,1,16,lda_shrink,compat_quant,0.7842797137072208,0.20987759677221646,0.20987759677221646,3.198943260514137e-05,0.0
rafdb,compat_B_age,rff,gamma x2.0,1,16,lda_shrink,compat_quant,0.7623240986916228,0.20903320798900932,0.20903320798900932,3.198943260514137e-05,0.0
rafdb,compat_B_age,tree,depth=None,1,16,lda_shrink,compat_quant,0.752742664132238,0.22537862988479293,0.22537862988479293,3.198943260514137e-05,0.0
