f,seed,target,n_classes,chance_balanced,abs_err,rel_err,family,cfg,train_acc,train_bal,test_acc,test_bal,sec
16,1,A_kept,5,0.2,0.00016015406367603235,3.202478469132892e-05,rff,gamma x2.0,0.9394066025908901,0.9283910077621386,0.9135802469135802,0.9006415740876802,0.39850378036499023
16,1,A_kept,5,0.2,0.00016015406367603235,3.202478469132892e-05,tree,"depth=None,it=31",0.9887170915169243,0.9842482655048339,0.9156378600823045,0.8757079712773539,67.5775465965271
16,1,A_kept,5,0.2,0.00016015406367603235,3.202478469132892e-05,tree,"depth=6,it=31",0.975031341412453,0.9766934250974966,0.917283950617284,0.8842723214009844,66.52800035476685
16,1,A_kept,5,0.2,0.00016015406367603235,3.202478469132892e-05,knn,k=15,1.0,1.0,0.9197530864197531,0.8702330823605043,1.008500576019287
16,1,A_kept,5,0.2,0.00016015406367603235,3.202478469132892e-05,knn,k=50,1.0,1.0,0.9213991769547325,0.8676581331542966,1.0564992427825928
16,1,Aprime_heldout,2,0.5,0.00016015406367603235,3.202478469132892e-05,lr,wd=1e-05,0.7851055946646907,0.7909269196830048,0.7946708463949843,0.7943645397489539,0.2239983081817627
16,1,Aprime_heldout,2,0.5,0.00016015406367603235,3.202478469132892e-05,lr,wd=0.001,0.7851055946646907,0.7909269196830048,0.7946708463949843,0.7943645397489539,0.21300029754638672
16,1,Aprime_heldout,2,0.5,0.00016015406367603235,3.202478469132892e-05,lr,wd=0.1,0.7851055946646907,0.7913719993188346,0.7946708463949843,0.7943645397489539,0.21500134468078613
16,1,Aprime_heldout,2,0.5,0.00016015406367603235,3.202478469132892e-05,mlp,"h=256,seed=0",0.798443868099296,0.8115807258351664,0.8009404388714734,0.8006276150627616,0.578498363494873
16,1,Aprime_heldout,2,0.5,0.00016015406367603235,3.202478469132892e-05,mlp,"h=256,seed=1",0.8077065579844387,0.8107662125095173,0.8072100313479624,0.802732740585774,0.5764999389648438
16,1,Aprime_heldout,2,0.5,0.00016015406367603235,3.202478469132892e-05,mlp,"h=1024,seed=0",0.7799184883290108,0.8114294339431452,0.774294670846395,0.7932400627615064,0.8059024810791016
16,1,Aprime_heldout,2,0.5,0.00016015406367603235,3.202478469132892e-05,mlp,"h=1024,seed=1",0.782141533901445,0.8089373398241073,0.7821316614420063,0.8026281380753137,0.8095235824584961
16,1,Aprime_heldout,2,0.5,0.00016015406367603235,3.202478469132892e-05,rff,gamma x0.5,0.7814005187106335,0.7901845338872728,0.8040752351097179,0.8068776150627615,0.24399065971374512
16,1,Aprime_heldout,2,0.5,0.00016015406367603235,3.202478469132892e-05,rff,gamma x2.0,0.7991848832901074,0.8107500277954871,0.786833855799373,0.7891344142259413,0.24200034141540527
16,1,Aprime_heldout,2,0.5,0.00016015406367603235,3.202478469132892e-05,tree,"depth=None,it=20",0.8951463505001852,0.9027928483267117,0.7931034482758621,0.7579759414225942,54.58030128479004
16,1,Aprime_heldout,2,0.5,0.00016015406367603235,3.202478469132892e-05,tree,"depth=6,it=22",0.8825490922563912,0.8919902553947874,0.7978056426332288,0.7860617154811715,55.442774534225464
